Site Dec,Site Hex,Description,County Name,Lat,Lon,Range,Frequencies
001,1,"Abilene ","Dickinson",38.88,-97.21,20,935.762500c,936.212500
062,3E,"Lamar (*)","Barton",37.49052,-94.226,20,935.375000,935.687500c
063,3F,"Lexington (*)","Lafayette",39.15902,-93.8938,20,939.637500,939.787500c
064,40,"Lowry City (*)","St. Clair",38.13972,-93.72188,20,939.612500c
066,42,"Miami","Saline",39.27983,-93.22881,20,935.950000,936.100000,936.250000c
068,44,"Musselfork","Chariton",39.54694,-92.87833,20,935.387500,935.912500,936.075000c
069,45,"Nashua (*)","Clay",39.33141,-94.58197,20,935.837500c,936.000000c
071,47,"Milo (*)","Vernon",37.78,-94.275,20,935.400000,935.550000c,935.975000c
072,48,"North Kansas City (*)","Clay",39.24319,-94.60027,20,935.400000,935.550000,936.212500,936.362500c
073,49,"Odessa (*)","Lafayette",39.0185,-93.95597,20,936.287500,939.837500c
074,4A,"Osceola (*)","St. Clair",37.97313,-93.8038,20,936.412500c
075,4B,"Pleasanton (*)","Linn",38.125,-94.67,20,936.137500c,936.337500c
081,51,"Sibley (*)","Jackson",39.16858,-94.16283,20,939.612500,939.762500c
083,53,"Stilwell","Johnson",38.78389,-94.65778,22,939.512500,939.675000,939.825000c
084,54,"Stockton (*)","Cedar",37.74863,-93.92166,20,935.925000c
085,55,"Sweet Springs","Saline",38.96667,-93.41611,20,936.287500,939.625000c
086,56,"Swope Park (Kansas City)","Jackson",39.01528,-94.50994,22,935.175000,935.325000,935.475000,935.625000c,935.787500,935.950000c
088,58,"Platte MO","Platte",39.22472,-94.76917,22,935.512500,935.900000c
089,59,"Warsaw (*)","Benton",38.267,-93.36388,20,936.075000c
090,5A,"Weston (*)","Platte",39.41833,-94.86605,20,936.025000,936.375000c
091,5B,"Williamsburg ","Franklin",38.45,-95.45,20,935.375000,935.525000c,935.687500c
092,5C,"Junction City (*)","Geary",39.00833,-96.86111,20,935.637500c,935.862500,936.012500
