"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
134.050000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Cedar Rapids Approach / Departure",CID-APP/DEP,CSQ,,AM,BM,Aircraft
134.150000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,"Clearance Delivery",Clearance,CSQ,,AM,BM,Aircraft
135.200000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,Departure,Departure,CSQ,,AM,BM,Aircraft
144.340000,0.00000,W0BXR,"Amateur Television",Scott,"Audio Intercom","W0BXR ATV",CSQ,CSQ,FM,BM,Ham
145.130000,144.53000,W0AK,Repeaters,Polk,"Des Moines","DM Ham","114.8 PL","114.8 PL",FM,RM,Ham
145.130000,144.53000,W0AK,Repeaters,Polk,"Des Moines - Broadlawn's Hospital","DM Ham",,,YSF,RM,Ham
145.130000,144.53000,K0BVC,Skywarn/RACES,Harrison,"Mondamin Repeater","Mondamin Ham",,"136.5 PL",FM,RM,Ham
145.150000,144.55000,NÃ˜DTS,Repeaters,Adams,"Prescott ARES","NÃ˜DTS Rptr",,"136.5 PL",FM,RM,Ham
145.150000,144.55000,W0WSV,Repeaters,Linn,"Cedar Rapids","CR Ham","192.8 PL","192.8 PL",FM,RM,Ham
145.170000,144.53000,WB0URW,Skywarn/RACES,Marion,"Pella Repeater - Local / Echolink","Pella Ham-L",CSQ,CSQ,FM,RM,Ham
145.170000,144.53000,WB0URW,Skywarn/RACES,Marion,"Pella Repeater - ICN Link","Pella HamICN",CSQ,"203.5 PL",FM,RM,Ham
145.170000,144.57000,N0DOB,"General Ham Radio","Palo Alto","West Bend Repeater",WestBendVHam,,"110.9 PL",FM,RM,Ham
145.190000,144.59000,N0DX,Repeaters,Linn,"Cedar Rapids","CR Ham","192.8 PL","192.8 PL",FM,RM,Ham
145.190000,144.59000,KD0NEB,Repeaters,Dallas,Perry,"Perry Ham","114.8 PL","114.8 PL",FM,RM,Ham
145.190000,144.59000,KD0NEB,Repeaters,Dallas,Perry,"Perry Ham",,,YSF,RM,Ham
145.230000,144.63000,WD0FIA,Repeaters,Adair,Bridgewater,"WD0FIA 2MDigital","14 DSQ","14 DSQ",YSF,RM,Ham
145.230000,144.63000,KD0DKS,Repeaters,Benton,"Van Horne ARES",BentonCoARES,"141.3 PL","141.3 PL",FM,RM,Ham
145.230000,144.63000,WD0FIA,Repeaters,Adair,Bridgewater,"WD0FIA 2M Analog",,"136.5 PL",FM,RM,Ham
145.250000,144.65000,W0QFK,Repeaters,Polk,Sheldahl,"Sheldahl Ham","114.8 PL","114.8 PL",FM,RM,Ham
145.270000,144.67000,KD0MJV,Repeaters,Johnson,"Iowa City","Iowa CityHam",CSQ,"192.8 PL",FM,RM,Ham
145.290000,144.69000,NÃ˜WKF,Skywarn/ARES,Mills,"Glenwood Repeater","Glenwood VHF",,CSQ,FM,RM,Ham
145.290000,144.69000,,Repeaters,Benton,"Belle Plaine","BELLE PLAINE HAM",CSQ,"192.8 PL",FM,RM,Ham
